step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.70923652375757,0,0.0,0.9259756561923891,0,0.0
10.0,0,0.0,0.0,12.625231459274426,0,0.0,0.9197024214603277,0,0.0
15.0,5,5.0,0.3125,4.947300217074621,5,5.0,0.29131330954397433,5,5.0
20.0,10,50.0,3.125,4.757807400256091,10,50.0,0.2549891886641836,10,50.0
25.0,6,64.0,3.5555555555555554,3.997722769368197,6,76.0,0.23133522830046577,6,76.0
30.0,8,99.0,5.5,6.787966307637856,8,99.0,0.3208752098992374,8,99.0
35.0,8,139.0,6.95,7.729304614902077,8,139.0,0.2807414817065863,8,139.0
40.0,10,185.0,8.409090909090908,7.355215040163083,10,185.0,0.40482978485381044,10,185.0
45.0,12,237.0,11.85,4.741815464203618,12,237.0,0.3335196461575281,12,237.0
50.0,10,162.0,7.363636363636363,3.2822407651275287,10,227.0,0.23028333864710895,10,227.0
55.0,10,205.0,8.541666666666666,5.664593046824893,10,211.0,0.2716004916048951,10,211.0
60.0,14,270.0,11.25,4.603852594415052,14,276.0,0.14500375317384176,14,276.0
65.0,18,347.0,14.458333333333334,3.2769751908487237,18,353.0,0.17612838260220975,18,353.0
70.0,12,344.0,15.636363636363637,2.8585297810255783,12,385.0,0.18830252978222178,12,385.0
75.0,14,407.0,12.71875,6.7584381549514365,14,413.0,0.3899889920415302,14,413.0
80.0,8,153.0,4.78125,7.942803865875734,8,345.0,0.4485583136424234,8,345.0
85.0,8,126.0,3.9375,7.352681025450487,8,191.0,0.3379672107895543,8,191.0
90.0,12,182.0,6.5,7.793584770347907,12,188.0,0.2377852122293696,12,188.0
95.0,13,243.0,9.72,4.872499189362701,13,249.0,0.12032007064505618,13,249.0
100.0,12,283.0,12.863636363636363,4.490671835880818,12,295.0,0.23718259145805742,12,295.0
105.0,12,343.0,15.590909090909092,5.202579776427047,12,349.0,0.2074933157578248,12,349.0
110.0,14,409.0,14.607142857142858,6.687747199672692,14,415.0,0.32616479029744433,14,415.0
115.0,12,421.0,16.84,5.560371744292972,12,427.0,0.3695882429746078,12,427.0
120.0,15,489.0,20.375,3.4878847986575323,15,495.0,0.18116026179096775,15,495.0
125.0,14,213.0,7.607142857142857,3.9852337662075383,14,435.0,0.22040814663039285,14,435.0
130.0,8,61.0,2.3461538461538463,5.314883504557884,8,262.0,0.22412810651054435,8,262.0
135.0,6,56.0,1.8666666666666667,6.163253501251785,6,235.0,0.29128387096622543,6,235.0
140.0,14,110.0,4.230769230769231,5.2517874291122775,14,270.0,0.19511313626484494,14,270.0
145.0,11,77.0,2.6551724137931036,5.789726594324005,11,285.0,0.3340115335609845,11,285.0
150.0,11,132.0,4.551724137931035,7.558026282040364,11,292.0,0.4503636877572536,11,292.0
155.0,6,72.0,2.4827586206896552,7.277629675999651,6,226.0,0.3748874199878837,6,226.0
160.0,7,13.0,0.4642857142857143,7.434195032753151,7,104.0,0.33906841952525946,7,104.0
165.0,7,33.0,1.2692307692307692,5.986695870728623,7,117.0,0.17771881233276407,7,117.0
170.0,12,86.0,3.44,5.606805111264779,12,162.0,0.21386708248698655,12,162.0
175.0,12,122.0,5.545454545454546,4.6646142959308055,12,198.0,0.1763591035165313,12,198.0
180.0,14,188.0,9.4,2.7222878317522103,14,264.0,0.14087919967398202,14,264.0
185.0,16,264.0,10.153846153846153,4.259027905402868,16,340.0,0.2907079713799637,16,340.0
190.0,18,349.0,13.423076923076923,3.630393032568056,18,425.0,0.2778712853594725,18,425.0
195.0,15,265.0,9.464285714285714,2.4541719951264334,15,411.0,0.1551160064804285,15,411.0
200.0,14,248.0,8.266666666666667,4.5906402333827465,14,339.0,0.218098093851838,14,339.0
205.0,10,96.0,3.0,4.854836784841289,10,285.0,0.18855039800476348,10,285.0
210.0,10,90.0,2.903225806451613,6.7638920546345425,10,203.0,0.29968171574134583,10,203.0
215.0,10,68.0,2.5185185185185186,4.964341169690682,10,199.0,0.09557273098739315,10,199.0
220.0,16,139.0,4.212121212121212,6.668660442838723,16,235.0,0.3664670842760505,16,235.0
225.0,10,158.0,5.266666666666667,6.134053678075932,10,258.0,0.3582635486648274,10,258.0
230.0,14,206.0,6.645161290322581,5.372225304160796,14,274.0,0.25563549065984387,14,274.0
235.0,12,111.0,3.7,5.811842607810396,12,242.0,0.22937986934342977,12,242.0
240.0,7,68.0,2.4285714285714284,6.532250057100266,7,150.0,0.24111025948612458,7,150.0
245.0,10,83.0,3.1923076923076925,5.457351202982723,10,146.0,0.22812262103834152,10,146.0
250.0,13,143.0,5.72,4.4201598782065465,13,206.0,0.15348408104657682,13,206.0
255.0,11,169.0,6.035714285714286,5.985532033450789,11,224.0,0.35092854728649064,11,224.0
260.0,10,204.0,7.555555555555555,6.695493255392354,10,216.0,0.39078842583499496,10,216.0
265.0,13,262.0,9.03448275862069,6.537469329572395,13,262.0,0.24552028527955466,13,262.0
270.0,15,334.0,12.37037037037037,5.239218207224271,15,334.0,0.22454245422768582,15,334.0
275.0,17,415.0,18.863636363636363,2.7201586188458085,17,415.0,0.16065117016093847,17,415.0
280.0,21,506.0,20.24,2.08130498352818,21,506.0,0.15624587918899122,21,506.0
285.0,19,598.0,23.92,2.3847206547485724,19,598.0,0.15598154789602883,19,598.0
290.0,20,694.0,19.82857142857143,5.032586542577201,20,694.0,0.29690735338815377,20,694.0
295.0,15,504.0,14.4,5.411218830315869,15,678.0,0.32369265827774235,15,678.0
300.0,8,418.0,11.942857142857143,5.270225170554332,8,554.0,0.2539388297832055,8,554.0
305.0,16,477.0,13.628571428571428,4.310832042107765,16,613.0,0.16682657303377843,16,613.0
310.0,23,578.0,17.515151515151516,3.095050034313639,23,714.0,0.13254476096779452,23,714.0
315.0,27,704.0,21.333333333333332,2.402226947282937,27,840.0,0.1213667279233692,27,840.0
